volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.10776406,0.12336836,0.12899671,0.12732066,0.13702762,0.091722965,0.08153502,0.11343614,0.08882845
0.11392931,0.12844108,0.12760428,0.11558986,0.13477418,0.085807756,0.07808896,0.11698245,0.09878208
0.114194304,0.13232177,0.11713188,0.11634853,0.13804719,0.08835632,0.07818,0.113797165,0.10162281
0.117139265,0.11448021,0.114506006,0.11221599,0.12206153,0.094193466,0.10256205,0.12238354,0.10045796
0.10904456,0.11368986,0.10977992,0.12342016,0.120448776,0.09842472,0.08401022,0.13944916,0.10173268
0.097646795,0.11625094,0.11024316,0.12443483,0.10412973,0.10407805,0.08604842,0.1430789,0.11408922
0.091365516,0.11842697,0.10785518,0.12200886,0.10502397,0.12013037,0.08810933,0.12935023,0.1177296
0.08651641,0.11606535,0.11223415,0.12490672,0.10227011,0.11666852,0.10846727,0.1206289,0.11224262
0.09042234,0.14277282,0.09864923,0.11123807,0.09573477,0.1113479,0.11160654,0.11414489,0.124083415
0.09489398,0.12169614,0.09715524,0.110702336,0.11107966,0.112263486,0.124610834,0.10941306,0.11818523
0.095293954,0.1154299,0.09594319,0.11060694,0.10629781,0.1127418,0.13709967,0.105410635,0.121176116
0.10185345,0.11074186,0.088482566,0.121063806,0.101621784,0.11242487,0.13581729,0.10784751,0.12014689
0.112837896,0.118354626,0.095570475,0.113920555,0.0949083,0.108898,0.13636269,0.10506632,0.11408107
0.10347347,0.112431064,0.10117127,0.117350385,0.1034808,0.11580309,0.13395335,0.10722204,0.10511459
0.10372987,0.11772712,0.116191044,0.108451724,0.08837712,0.11197426,0.13470757,0.103703536,0.115137726
0.114319205,0.1127027,0.11160917,0.10145612,0.10790361,0.11389178,0.13702393,0.10654153,0.0945519
0.12138434,0.11896565,0.111597,0.09918772,0.11062064,0.099426016,0.15367873,0.1007555,0.08438432
0.13032152,0.093487486,0.1188499,0.10600947,0.13496189,0.092977345,0.12768044,0.103123076,0.09258886
0.13076167,0.083961226,0.11085652,0.11837733,0.13154896,0.099036455,0.13684817,0.10047546,0.08813427
0.12581187,0.08631395,0.11145195,0.11514537,0.111042395,0.12745623,0.120854646,0.09698665,0.104936935
0.14538163,0.08386949,0.10836133,0.11909417,0.12400252,0.118674375,0.10880899,0.08720091,0.10460658
0.12773822,0.08934284,0.10614701,0.11573635,0.13459197,0.12314595,0.10269551,0.08212182,0.11848026
0.13181734,0.07971027,0.11275477,0.11562158,0.13163708,0.12146512,0.1009493,0.09761663,0.10842791
0.13533673,0.08722935,0.09548122,0.11268526,0.1264871,0.12554592,0.10031382,0.09889096,0.1180296
0.1442694,0.09270716,0.090880275,0.10742611,0.12650098,0.11764035,0.0944202,0.09375917,0.13239634
0.13626418,0.091626495,0.087807834,0.12424517,0.1246328,0.12863198,0.09269264,0.08811595,0.1259829
0.15283443,0.0915901,0.082368806,0.110226266,0.108074486,0.124116875,0.09157045,0.10814744,0.13107118
0.1415579,0.08924133,0.09274837,0.113488704,0.10246889,0.12465437,0.0952165,0.1061944,0.13442947
0.13198519,0.1050962,0.09851518,0.10584381,0.103271075,0.11916115,0.08940086,0.11753543,0.12919118
0.14783959,0.09471078,0.09969754,0.11286537,0.10557494,0.11274883,0.08755234,0.1304613,0.10854934
0.12951565,0.118836954,0.10074611,0.105872504,0.1026132,0.110276386,0.096650966,0.12796372,0.10752447
0.12414754,0.101914756,0.10700757,0.10903174,0.10093253,0.115160026,0.09805609,0.13143441,0.112315364
0.12700927,0.09368195,0.10560703,0.10460195,0.10300995,0.11389008,0.10567931,0.118483074,0.12803738
0.12728553,0.08842518,0.108818926,0.112112366,0.10545356,0.11133401,0.118866235,0.11452046,0.113183774
0.112797484,0.08975387,0.1019761,0.121721156,0.107269146,0.116332516,0.112149015,0.10568959,0.13231112
0.1076292,0.09727042,0.10941655,0.11448071,0.09291339,0.12613884,0.12942265,0.11511952,0.1076087
0.11195561,0.08107729,0.10905172,0.11657519,0.09854807,0.13989128,0.13148351,0.09558837,0.11582893
0.12486791,0.089347,0.103911005,0.11238413,0.09760272,0.12249297,0.124883905,0.108468615,0.11604174
0.11563185,0.10364377,0.09958638,0.11658798,0.097322494,0.11610462,0.1250467,0.098908186,0.12716807
0.111720234,0.10081813,0.110595904,0.117991604,0.09613534,0.115870655,0.12272956,0.09637153,0.1277671
0.11266674,0.09780912,0.1085537,0.111153774,0.09539054,0.12602946,0.124725506,0.101551265,0.122119844
0.11913161,0.097623415,0.109339766,0.11270137,0.08964274,0.11733473,0.1254539,0.09988526,0.12888722
0.113283165,0.09773693,0.10842753,0.12263135,0.08961149,0.12525381,0.10921252,0.108075865,0.12576745
0.10765297,0.101334624,0.109384105,0.11791092,0.09403969,0.12547138,0.10709427,0.10932018,0.12779182
0.115368456,0.10770804,0.10549863,0.10910675,0.090933844,0.13615428,0.10660391,0.109589934,0.119036116
0.115221165,0.10932344,0.09401747,0.12320748,0.09785554,0.13398305,0.09514156,0.10761979,0.12363052
0.121657,0.11226983,0.09543894,0.108101934,0.10417629,0.1250647,0.09500214,0.11518487,0.12310433
0.12009457,0.11683031,0.09482905,0.109143175,0.10560427,0.11748386,0.082663506,0.116778195,0.13657309
0.1218519,0.10022579,0.09368752,0.11401521,0.10875208,0.13293268,0.09125497,0.111930154,0.12534967
0.117460385,0.104996726,0.09072466,0.12294597,0.10646582,0.14707194,0.08507603,0.10050051,0.124757975
0.11956953,0.10052561,0.09023058,0.11723307,0.1008746,0.12649183,0.10629714,0.1141092,0.124668494
0.12653627,0.1055984,0.08082106,0.12648779,0.10012171,0.12122692,0.098549694,0.11292347,0.12773469
