volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.19440053,0.24121545,0.19867386,0.18690899,0.20473036,0.18915121,0.22551706,0.21626385,0.23655464
0.18657948,0.22616702,0.21031366,0.16734615,0.22979335,0.20295203,0.21966669,0.21944,0.2415965
0.18606377,0.25428364,0.21794137,0.18629333,0.21052891,0.23969012,0.24082184,0.25016385,0.23836239
0.22617464,0.23902525,0.18896475,0.20193043,0.2138137,0.21178642,0.23292762,0.23875637,0.21811199
0.227528,0.24086468,0.18083216,0.20197465,0.24113676,0.21581696,0.2474629,0.23582934,0.21914357
0.20220996,0.21512154,0.18928558,0.18748951,0.26749137,0.1951137,0.2166377,0.2314546,0.24920218
0.25830775,0.21565312,0.18341587,0.19833715,0.25072953,0.2053143,0.21740009,0.24947412,0.24068247
0.24446447,0.1913275,0.1906184,0.18633004,0.23711592,0.21277232,0.23606792,0.24978031,0.23952013
0.24530822,0.16855267,0.19489437,0.2073613,0.23631546,0.19849543,0.21147358,0.22347423,0.23859581
0.25630537,0.19555964,0.18641013,0.1900147,0.21861629,0.1986772,0.21306938,0.22500344,0.19956459
0.23722099,0.19530678,0.17970201,0.17664576,0.21880175,0.2041801,0.18292496,0.20852959,0.1694007
0.2557276,0.19715042,0.16943474,0.19544615,0.19657083,0.19063617,0.1817759,0.20020859,0.1605611
0.25756407,0.18670046,0.19977394,0.18847255,0.22214633,0.17219788,0.15020044,0.18845768,0.17362198
0.24277431,0.19056238,0.17337528,0.1583452,0.22616404,0.17192577,0.15703788,0.17331329,0.16375752
0.24482502,0.18192078,0.19677769,0.17254558,0.19558974,0.16278124,0.14264947,0.1604314,0.20666863
0.28547126,0.1930564,0.18958798,0.16840535,0.22365884,0.16314186,0.14685267,0.16615157,0.20039131
0.21077892,0.20471424,0.19804955,0.21040352,0.22937731,0.15736213,0.14875704,0.14810741,0.16356255
0.20531853,0.22704303,0.1954348,0.19956148,0.23075828,0.18408538,0.13926466,0.16514197,0.16870092
0.20371948,0.23071232,0.21709709,0.21847671,0.23894386,0.17761025,0.16181801,0.21373306,0.16597956
0.19542828,0.20247208,0.21419525,0.2205984,0.24705872,0.17852493,0.15016623,0.20874375,0.16195442
0.20082447,0.22990398,0.24039274,0.23726933,0.2553588,0.17093098,0.15194516,0.21139473,0.1655369
0.20772485,0.23418385,0.23265812,0.21075249,0.24573086,0.15645143,0.14237791,0.21329159,0.18010724
0.21646583,0.25082812,0.22203428,0.22054936,0.26168117,0.16748756,0.1481974,0.21571302,0.19263542
0.2152876,0.21040058,0.21044798,0.20623921,0.2243341,0.17311603,0.18849646,0.22492594,0.1846294
0.20221084,0.21082504,0.20357448,0.22886877,0.22335868,0.18251754,0.15578748,0.25859275,0.18865179
0.17672546,0.21039607,0.19952291,0.22520763,0.18845858,0.18836503,0.15573421,0.25895047,0.20648369
0.16125147,0.20901237,0.19035417,0.21533407,0.18535736,0.21201871,0.15550461,0.22829089,0.20778158
0.15628397,0.20966142,0.20274071,0.22563255,0.18474159,0.210751,0.19593619,0.21790506,0.202756
0.16075368,0.25382286,0.17537953,0.19776009,0.17019817,0.19795534,0.19841515,0.20292786,0.22059666
0.16515444,0.2118012,0.16908997,0.19266747,0.19332418,0.19538452,0.21687397,0.19042361,0.20569079
0.16617768,0.2012916,0.16730985,0.19288112,0.18536668,0.19660398,0.23908028,0.18381958,0.2113121
0.17206316,0.18707854,0.14947544,0.2045156,0.1716718,0.18992168,0.22943898,0.18218905,0.20296665
0.1887521,0.19798034,0.15986764,0.19056314,0.15875997,0.18216155,0.22810371,0.17575203,0.19083165
0.18079995,0.19645162,0.1767773,0.20504719,0.18081276,0.20234358,0.23405765,0.18734986,0.18366748
0.18718365,0.21244211,0.20967022,0.19570439,0.15947916,0.20206091,0.24308383,0.18713613,0.20776947
0.20355475,0.20067643,0.1987293,0.18065098,0.19213125,0.20279369,0.24398239,0.18970597,0.16835743
0.22754075,0.2230068,0.20919392,0.18593211,0.20736368,0.18637882,0.28807813,0.188871,0.15818244
0.23766097,0.17048855,0.21674076,0.19332428,0.24612339,0.16955824,0.23284458,0.1880605,0.16884977
0.24101664,0.15475523,0.20432797,0.21819013,0.24246776,0.18254152,0.2522351,0.18519387,0.16244689
0.23531431,0.16143872,0.208456,0.21536404,0.20768997,0.23838985,0.22604248,0.18140058,0.19627053
0.27003488,0.15578094,0.2012726,0.221208,0.23032488,0.22042827,0.20210409,0.1619688,0.19429846
0.24163936,0.16900772,0.20079578,0.2189357,0.25460443,0.23295227,0.19426665,0.15534788,0.22412628
0.25367215,0.15339617,0.21698773,0.22250469,0.25332525,0.23375012,0.19426903,0.18785557,0.20866103
0.2471144,0.15927406,0.17434132,0.20575458,0.23095568,0.22923714,0.18316528,0.18056725,0.21551293
0.26142347,0.16799007,0.16467966,0.19466156,0.22922619,0.21317028,0.1710942,0.16989638,0.23990887
0.2452669,0.1649219,0.15804856,0.22363344,0.22433116,0.23152943,0.1668409,0.15860315,0.22676125
0.2887142,0.17301966,0.15560004,0.2082246,0.20415975,0.23446487,0.17298254,0.20429756,0.247602
0.26790679,0.16889456,0.17553182,0.21478416,0.19392851,0.23591584,0.18020292,0.20097925,0.2544158
0.25317165,0.20159367,0.18897007,0.20302773,0.19809274,0.2285728,0.17148714,0.22545438,0.24781221
0.2680322,0.17171001,0.18075097,0.20462416,0.19140667,0.20441288,0.1587318,0.23652546,0.19679923
0.24284004,0.22281764,0.18889757,0.19850948,0.19239834,0.2067667,0.18121922,0.23993021,0.2016069
0.221576,0.18189539,0.19098493,0.19459763,0.18014233,0.20553528,0.17500852,0.23458146,0.20045818
0.23298079,0.17184645,0.19372135,0.19187766,0.18895736,0.20891546,0.19385394,0.21734065,0.23486668
0.23540825,0.16353798,0.20125519,0.20734625,0.1950311,0.20590672,0.21983719,0.21179989,0.20932776
0.21588938,0.17178494,0.19517773,0.2329689,0.2053084,0.22265528,0.21464825,0.2022852,0.25323763
0.21431758,0.19369057,0.21787666,0.2279607,0.18501459,0.25117505,0.25771397,0.22923273,0.21427675
